school_name_std,address,city,zip,county,FedCong,included_in_program,registered,n_incidents,had_incident,n_disp_return,perc_disp_return
longfellow elem school,715 Highland Ave,Oak Park,60304 1526,Cook,07,1,1,3,1,3,1
longfellow elem school,311 W Seminary Ave,Wheaton,60187 5001,Dupage,03,1,1,0,0,NA,NA
longfellow elem school,4198 7th Ave,Rock Island,61201 2250,Rock Island,17,1,NA,0,0,NA,NA
longfellow elem school,1400 W Hendrickson St,Marion,62959 1509,Williamson,12,1,NA,0,0,NA,NA
longwood elem school,441 N Longwood Dr,Glenwood,60425 1211,Cook,02,1,NA,0,0,NA,NA
longwood elem school,30W240 Bruce Ln,Naperville,60563 9081,Dupage,11,1,1,2,1,1,0.5
lords park elem school,323 Waverly Dr,Elgin,60120 4626,Kane,03,1,NA,0,0,NA,NA
lorenzo r smith elem school,4120 S. Wheeler Rd,Pembroke Township,60958 0552,Kankakee,02,1,1,0,0,NA,NA
lostant elem school,315 W 3rd St,Lostant,61334 0320,La Salle,16,1,1,0,0,NA,NA
lotus school,29067 W Grass Lake Rd,Spring Grove,60081 9494,Lake,10,1,NA,0,0,NA,NA
louise white elem school,800 N Prairie St,Batavia,60510 2071,Kane,11,1,1,0,0,NA,NA
lovejoy elem school,1043 Tremont St,Alton,62002 6749,Madison,13,1,NA,0,0,NA,NA
lovejoy elementary school,800 Madison St,Lovejoy,62059 0250,Saint Clair,13,1,NA,0,0,NA,NA
lovejoy middle school,800 Madison St,Lovejoy,62059 0250,Saint Clair,13,1,NA,0,0,NA,NA
lovejoy technology academy,800 Madison St,Lovejoy,62059 0250,Saint Clair,13,1,NA,0,0,NA,NA
loves park elem school,344 Grand Ave,Loves Park,61111 4511,Winnebago,16,1,NA,0,0,NA,NA
lovett elem school,6333 W Bloomingdale Ave,Chicago,60639 3817,Cook,07,1,1,0,0,NA,NA
lovington grade school,330 S High St,Lovington,61937 9360,Douglas,15,1,NA,0,0,NA,NA
lowell elem school,3320 W Hirsch St,Chicago,60651 2361,Cook,03,1,1,2,1,1,0.5
